date,Export price,Export value,Export volume,Import price,Import value,Import volume,Terms of trade
2000-01-31,63.27,27.65,43.71,57.35,19.23,33.53,110.32
2000-02-29,63.97,28.2,44.08,57.12,26.28,46.0,111.99
2000-03-31,63.97,29.65,46.35,57.57,22.35,38.82,111.11
2000-04-30,63.66,27.08,42.54,57.65,22.36,38.79,110.42
2000-05-31,63.27,27.25,43.07,57.5,22.11,38.45,110.04
2000-06-30,62.72,28.67,45.72,57.8,25.75,44.56,108.52
2000-07-31,62.65,31.59,50.43,57.95,25.39,43.81,108.1
2000-08-31,62.02,32.0,51.6,57.95,27.58,47.59,107.03
2000-09-30,61.25,31.27,51.05,58.1,25.33,43.6,105.41
2000-10-31,60.86,32.45,53.33,58.18,27.99,48.12,104.61
2000-11-30,59.38,31.71,53.41,58.4,26.48,45.33,101.67
2000-12-31,60.23,30.32,50.35,58.48,25.34,43.33,103.0
2001-01-31,60.08,26.57,44.23,58.55,25.27,43.15,102.6
2001-02-28,59.61,27.15,45.55,58.33,23.4,40.11,102.2
2001-03-31,59.22,30.7,51.84,58.63,27.03,46.1,101.01
2001-04-30,57.43,24.89,43.33,58.1,23.04,39.66,98.85
2001-05-31,56.96,29.1,51.08,58.33,25.57,43.84,97.66
2001-06-30,57.28,28.38,49.55,58.18,23.67,40.68,98.45
2001-07-31,57.04,27.1,47.52,58.18,24.43,41.99,98.05
2001-08-31,56.81,29.26,51.51,58.1,23.03,39.64,97.78
2001-09-30,57.12,27.71,48.51,58.03,23.6,40.67,98.44
2001-10-31,56.73,27.83,49.06,57.8,23.78,41.14,98.15
2001-11-30,56.34,27.81,49.36,57.65,23.86,41.39,97.73
2001-12-31,56.42,25.95,45.99,57.57,20.74,36.03,98.0
2002-01-31,56.42,24.8,43.96,58.18,23.2,39.88,96.98
2002-02-28,56.19,24.96,44.42,58.1,20.2,34.76,96.71
2002-03-31,56.73,29.15,51.39,58.1,24.52,42.19,97.64
2002-04-30,57.98,25.14,43.36,57.95,23.92,41.27,100.05
2002-05-31,58.05,30.35,52.28,58.4,24.86,42.56,99.4
