date,Sales of Commercial cars (Units),Sales of Passenger cars (Units),Sales of Commercial cars (Units) (Seasonally Adjusted),Sales of Passenger cars (Units) (Seasonally Adjusted)
2010-01-31,26411,21682,31521.6,25537.46
2010-02-28,29242.0,23346.0,31794.86,25934.4
2010-03-31,37204.0,23942.0,31984.45,22641.77
2010-04-30,28108.0,27418.0,30197.02,32296.98
2010-05-31,31352.0,29108.0,33610.7,28843.22
2010-06-30,33915.0,34832.0,36095.72,32672.37
2010-07-31,33350.0,30432.0,35403.54,31411.28
2010-08-31,34353.0,29491.0,36111.12,31615.23
2010-09-30,33541.0,32684.0,35644.32,32295.21
2010-10-31,36339.0,33609.0,35767.38,33244.76
2010-11-30,41778.0,34759.0,39012.29,33667.01
2010-12-31,49292.0,41266.0,37074.3,31570.17
2011-01-31,34088.0,32317.0,39359.92,37824.5
2011-02-28,40107.0,34722.0,42808.07,37944.89
2011-03-31,47052.0,43260.0,40484.79,40778.99
2011-04-30,33259.0,32190.0,36052.31,38435.58
2011-05-31,29189.0,24477.0,31454.82,24654.69
2011-06-30,34673.0,33524.0,36941.7,31649.33
2011-07-31,37590.0,33250.0,39951.23,34167.34
2011-08-31,40350.0,36772.0,42539.99,39022.43
2011-09-30,42820.0,42221.0,45645.53,41710.14
2011-10-31,20755.0,20949.0,20707.53,20688.23
2011-11-30,10166.0,14576.0,9511.43,14090.49
2011-12-31,24693.0,28567.0,18641.26,21942.13
2012-01-31,45401.0,29606.0,51110.89,34639.75
2012-02-29,54173.0,34417.0,56945.84,37278.51
2012-03-31,65231.0,42231.0,56340.08,39459.12
2012-04-30,45248.0,39910.0,49182.93,47488.4
2012-05-31,55159.0,57849.0,59755.61,59062.05
2012-06-30,58184.0,62024.0,61819.21,59617.76
2012-07-31,62199.0,65983.0,66245.01,67728.7
2012-08-31,63903.0,62639.0,67507.92,65395.88
2012-09-30,59241.0,70351.0,63175.8,69232.15
2012-10-31,64019.0,74857.0,64475.55,74383.91
2012-11-30,64145.0,80287.0,59998.28,77932.15
2012-12-31,66446.0,74098.0,50179.68,56730.15
2013-01-31,58503.0,63592.0,65225.05,75350.25
2013-02-28,57745.0,68067.0,60102.33,73827.72
2013-03-31,69880.0,83103.0,60824.05,76664.73
2013-04-30,56058.0,49850.0,61210.68,58250.16
2013-05-31,52240.0,55338.0,56650.12,56673.43
2013-06-30,49825.0,51725.0,52486.11,50603.54
2013-07-31,44173.0,49632.0,47051.88,50830.29
2013-08-31,43194.0,53293.0,45597.16,54835.37
2013-09-30,42469.0,49047.0,45200.61,48267.12
2013-10-31,41968.0,43730.0,42438.59,43950.14
2013-11-30,48275.0,42396.0,45313.78,41558.68
2013-12-31,57070.0,53989.0,43063.13,41298.04
2014-01-31,36916.0,29732.0,41236.5,35773.04
2014-02-28,36743.0,32946.0,38065.61,35840.12
2014-03-31,42632.0,38946.0,37333.79,35200.07
2014-04-30,36236.0,34993.0,39630.24,39909.15
2014-05-31,34750.0,32902.0,37570.31,33740.69
2014-06-30,35661.0,36106.0,37293.62,35737.05
2014-07-31,34662.0,32772.0,36958.03,33718.29
2014-08-31,33658.0,32848.0,35538.44,33460.15
2014-09-30,34072.0,32501.0,36080.69,31864.71
2014-10-31,36045.0,32299.0,36579.48,32927.88
2014-11-30,37267.0,33003.0,35032.02,32783.55
2014-12-31,44146.0,42366.0,33228.05,32262.93
2015-01-31,30396.0,27429.0,34291.61,33633.13
2015-02-28,32621.0,29425.0,33724.24,32375.55
2015-03-31,35425.0,36127.0,31113.13,32088.93
2015-04-30,21908.0,30137.0,24085.2,33470.63
2015-05-31,24926.0,29871.0,26786.01,30546.22
2015-06-30,29820.0,28087.0,30951.09,27601.06
2015-07-31,29008.0,29894.0,30992.72,30933.53
2015-08-31,33109.0,26550.0,34931.97,26914.32
2015-09-30,26699.0,32983.0,28091.05,32465.84
