,JAN 2010 r,FEB 2010 r,MAR 2010 r,APR 2010 r,MAY 2010 r,JUN 2010 r,JUL 2010 r,AUG 2010 r,SEP 2010 r,OCT 2010 r,NOV 2010 r,DEC 2010 r,JAN 2011 r,FEB 2011 r,MAR 2011 r,APR 2011 r,MAY 2011 r,JUN 2011 r,JUL 2011 r,AUG 2011 r,SEP 2011 r,OCT 2011 r,NOV 2011 r,DEC 2011 r,JAN 2012 r,FEB 2012 r,MAR 2012 r,APR 2012 r,MAY 2012 r,JUN 2012 r,JUL 2012 r,AUG 2012 r,SEP 2012 r,OCT 2012 r,NOV 2012 r,DEC 2012 r,JAN 2013 r,FEB 2013 r,MAR 2013 r,APR 2013 r,MAY 2013 r,JUN 2013 r,JUL 2013 r,AUG 2013 r,SEP 2013 r,OCT 2013 r,NOV 2013 r,DEC 2013 r,JAN 2014 r,FEB 2014 r,MAR 2014 r,APR 2014 r,MAY 2014 r,JUN 2014 r,JUL 2014 r,AUG 2014 r,SEP 2014 r,OCT 2014 r,NOV 2014 r,DEC 2014 r,JAN 2015 r,FEB 2015 r,MAR 2015 r,APR 2015 r,MAY 2015 r,JUN 2015 r,JUL 2015 r,AUG 2015 r,SEP 2015 r,OCT 2015 r,NOV 2015 r,DEC 2015 r,JAN 2016 r,FEB 2016 r,MAR 2016 r,APR 2016 r,MAY 2016 r,JUN 2016 r,JUL 2016 r,AUG 2016 r,SEP 2016 r,OCT 2016 r,NOV 2016 r,DEC 2016 r,JAN 2017 r,FEB 2017 r,MAR 2017 r,APR 2017 r,MAY 2017 r,JUN 2017 r,JUL 2017 r,AUG 2017 r,SEP 2017 r,OCT 2017 r,NOV 2017 r,DEC 2017 r,JAN 2018 r,FEB 2018 r,MAR 2018 r,APR 2018 r,MAY 2018 r,JUN 2018 r,JUL 2018 r,AUG 2018 r,SEP 2018 r,OCT 2018 r,NOV 2018 r,DEC 2018 r,JAN 2019 r,FEB 2019 r,MAR 2019 r,APR 2019 r,MAY 2019 r,JUN 2019 r,JUL 2019 r,AUG 2019 r,SEP 2019 r,OCT 2019 r,NOV 2019 r,DEC 2019 r,JAN 2020 r,FEB 2020 r,MAR 2020 r,APR 2020 r,MAY 2020 r,JUN 2020 r,JUL 2020 r,AUG 2020 r,SEP 2020 r,OCT 2020 r,NOV 2020 r,DEC 2020 r,JAN 2021 r,FEB 2021 r,MAR 2021 r,APR 2021 r,MAY 2021 r,JUN 2021 r,JUL 2021 r,AUG 2021 r,SEP 2021 r,OCT 2021 r,NOV 2021 r,DEC 2021 r,JAN 2022 r,FEB 2022 r,MAR 2022 r,APR 2022 r,MAY 2022 r,JUN 2022 r,JUL 2022 r,AUG 2022 r,SEP 2022 r,OCT 2022 r,NOV 2022 r,DEC 2022 r,JAN 2023 r,FEB 2023 r,MAR 2023 r,APR 2023 r,MAY 2023 r,JUN 2023 r,JUL 2023 r,AUG 2023 r,SEP 2023 r,OCT 2023 r,NOV 2023 r,DEC 2023 r,JAN 2024 r,FEB 2024 r,MAR 2024 r,APR 2024 p
Private Consumption Index 1/,98.5,90.44,105.04,103.53,97.49,99.29,100.21,100.74,102.6,94.33,109.73,98.05,100.27,92.83,108.06,102.49,97.11,97.35,100.35,102.17,104.6,91.12,99.44,96.37,103.63,99.62,112.36,109.32,107.2,104.96,109.06,110.38,112.18,104.81,119.01,107.92,112.39,102.56,118.78,113.84,109.45,106.33,110.67,112.79,112.52,105.04,118.5,107.49,111.36,102.5,118.68,116.48,111.92,109.49,113.58,114.61,114.85,107.06,121.06,110.33,115.07,104.69,121.46,118.8,112.04,110.98,114.26,115.77,118.4,109.97,126.1,114.88,118.16,108.61,127.25,124.67,118.7,116.35,118.91,121.37,123.36,112.68,130.04,118.84,120.14,112.12,130.88,126.82,121.87,120.02,120.65,123.32,127.34,115.52,136.34,125.96,125.63,115.72,132.36,137.13,129.14,125.85,128.61,131.45,131.94,122.53,140.1,128.25,132.6,121.88,138.86,140.67,133.68,129.48,130.89,132.28,131.93,123.81,140.03,127.95,134.13,126.74,137.17,121.29,119.45,125.07,132.93,133.73,134.16,125.17,144.73,138.57,131.28,125.16,143.55,136.5,119.94,123.94,123.51,122.6,126.99,122.46,143.34,141.44,140.73,128.81,143.57,147.73,133.89,136.11,142.25,144.4,142.84,131.96,154.86,146.56,150.34,138.21,156.85,160.7,143.77,144.57,153.06,154.69,150.81,138.94,163.83,151.7,154.12,141.91,157.58,164.82
   Non-durables Index 2/,106.75,98.18,109.5,99.57,98.57,96.39,101.88,100.14,100.28,95.24,91.78,101.66,109,99.35,110.48,100.22,99.88,97.05,102.75,102.44,101.3,93.79,86.97,99.59,111.06,104.48,114.92,103.4,105.23,99.78,105.17,106.53,103.66,99.39,97.54,107.55,116.17,105.31,118.66,107.34,108.66,102.93,109.03,110.42,105.76,101.67,98.81,106.74,118.09,106.73,122.04,110.54,111.07,105.82,113.33,113.2,110.66,106.16,102.36,112.51,122.22,110.21,125.34,114.43,115.61,111.25,117.58,116.93,113.6,108.95,107.36,116.99,127.32,117.44,129.23,119.69,120.54,114.75,119.94,121.06,116.22,110.59,107.47,118.75,129.48,117.89,133.21,120.62,121.04,117.95,123.49,124.32,122.38,114.91,111.54,121.31,130.44,120.12,135.39,122.41,122.39,119.3,125.21,125.97,121.5,117.34,114.48,125.23,135.15,123.84,137.85,126.09,128.28,122.72,128.38,128.13,122.16,121.44,116.25,123.52,136.05,124.9,139.25,112.42,120.51,119.52,128.6,126.16,125.21,117.1,113.82,123.09,125.54,121.55,138.37,119.1,116.7,116.3,115.31,113.12,113.68,109.53,108.16,120.42,127.93,115.44,131.11,121.16,120.31,117.66,123.27,121.37,119.03,112.26,110.74,120.16,130.79,119.59,133.29,123.54,126.14,120.03,126.07,124.91,120.29,115.8,114.25,123.07,135.71,127,137.02,128.94
     Sales of Benzene Gasohol and Diesel Index,98.88,96.83,102.59,98.84,98.41,99.38,101.91,98.42,96.57,98.08,102.37,107.66,104.51,96.49,102.02,102.87,102.51,101.35,97.99,103.19,96.84,92.78,89.18,109.2,106.35,102.46,108.75,103.66,108.57,106.47,104.49,107.93,100.12,109.5,111.9,122.68,118.61,105.08,121.49,117.64,123.79,112.63,116.44,119.34,104.74,114.53,113.61,117.58,116.65,106.16,121.25,120.28,123.73,113.49,120.91,123.69,118.43,122.65,119.47,136.51,135.48,124.05,136.75,138.54,140.44,134.06,140.38,141.52,132.88,141.69,138.49,155.93,150.79,148.16,156.25,157.63,159.19,160.06,154.19,164.75,149.02,148.3,152.02,165.99,156.88,145.48,169.42,158.84,166.31,165.79,161.29,167.67,160.11,161.45,153.08,171.11,167.87,158.17,175.07,169.32,167.43,168.06,164.31,172.2,156.14,167.8,166.77,182.6,176.18,160.35,181.95,177.1,178.87,175.81,176.63,178.25,162.85,182.34,172.49,182.47,178.11,164.83,165.11,123.94,157.33,168.77,191.94,185.64,185.38,179.4,180.81,187.67,147.8,160.83,191.18,155.99,140.61,151.47,127.98,123.7,133.98,149.09,160.88,191.31,171.94,148.82,156.8,169.14,168.1,161.63,161.28,160.35,160.09,159.68,164.38,182.47,175.26,158.1,175.5,167.97,178.74,171.13,170.04,166.56,156.56,163.47,171.95,182.22,181.2,167.01,175.47,182.28
     Household electricity consumption Index,87.71,89.04,103.76,113.29,119.38,108.66,105,99.77,97.61,97.88,88.03,89.8,84.28,85.26,97.47,99.08,110.03,105.23,105.97,104.79,102.42,97.76,98.04,94.21,95.5,99.29,115.23,119.35,125.41,110.99,110.14,108.68,104.28,109.45,110.96,108.18,101.27,99.8,118.27,128.77,133.79,119.03,116.02,116.93,111.18,112.09,107.69,97.15,89.79,91.62,118.05,129.52,140.97,131.17,126.29,122.08,116.96,119.3,114.96,107.69,96.67,96.86,125.63,130.39,143.89,139.62,134.6,128.29,125.31,124.89,124.76,120.48,116.08,105.73,132.62,151.53,165.14,139.93,133.83,138.54,131.81,131.1,123.6,117.05,117.2,109.26,137.18,144.65,152.1,141.18,138.84,142.55,139.13,135.96,124.96,119.95,112.03,113.12,138.96,143.63,150.53,144.77,144.33,140.72,134.75,143.81,134.76,131.65,128.44,127.63,153.72,169.67,180.48,157.39,157.42,151.02,139.83,148.59,139.07,124,139.37,134.81,160.04,179.51,199.91,180.03,174.78,164.41,162.22,144.28,135.32,134.86,125.77,129.01,162.85,175.5,192.17,189.51,183.88,182.28,165.16,165.36,153.43,136.23,144.95,142.51,170.11,176.37,181.05,177.05,174.58,170.04,159.69,150.83,150.03,144.05,131.43,134.03,160.33,205.79,214.92,193.22,189.58,185.94,174.18,173.02,163.82,159.05,156.95,160.29,196.67,224.38
   Semi-durables Index 3/,99.3,91.85,101.05,90.95,92.35,103.14,93.92,98.28,97.99,107.95,123.22,99.95,99.26,90.52,103.5,90.35,93.88,102.89,93.6,99.5,98.92,104.6,117.01,103.67,101.37,98.52,107.54,94.46,100.18,105.66,99.21,101.95,100.25,115.08,127.08,104.84,105.96,97.29,107.26,95.96,100.85,105.16,99.22,102.62,101.08,113.9,124.84,104.83,106.29,97.38,107.62,95.58,99.03,105.77,98.94,100.68,102.08,115.07,125.37,106.64,105.34,99.66,107.44,95.64,98.76,107.52,99.45,102.22,101.62,114.26,127.11,109.22,105.21,99.45,109.93,96.93,100.51,108.34,99.39,104.56,102.57,116.07,129.57,109.53,105.33,99.75,111.37,95.53,102.08,109.9,99.91,106.46,103.18,116.23,130.95,110.1,110.09,102.64,111.56,98.76,104.45,112.18,103.02,108.56,106.01,123.03,135.47,112.26,112.92,103.14,113.31,100.83,105.49,112.47,105.4,107.86,106.62,121.44,133.65,112.83,113.29,100.24,110.27,95.28,97.36,107.91,99.52,103.31,103.61,116.86,130.45,111.71,110.33,105.94,114.13,101.02,105.71,112.79,101.61,105.51,105.34,120.03,132.35,113.02,111.89,104.07,114.85,101.63,107.23,114.15,103.79,109.67,107.29,119.7,135.21,112.78,111.61,105.25,116.13,99.95,108.21,113.25,104.11,109.42,106.9,121.63,134.43,112.83,112.11,105.79,113.45,101.31
     Sales of semi-durables Index,91.45,91.77,106.03,89.37,96.73,106.63,105.12,106.65,107.37,104.91,108.65,85.26,81.53,80.34,91.9,73.59,78.91,87.1,83.9,89.59,89.18,71.18,70.39,84.51,86.21,92.03,99.22,82.85,100.75,99.09,100.37,99.46,96.81,97.71,99.06,96.16,99.07,92.2,104.31,86.62,100.05,97.04,98.36,97.3,96.87,94.01,93.96,94.9,91.42,92.57,101.04,84.63,93.85,93.2,93.24,89.24,91.95,91,90.14,95.09,89,89.78,103.88,84.03,93.53,95.2,96.38,91.45,93.81,92.67,91.85,100.61,89.29,92.28,106.48,86.51,96.62,94.66,90.29,94.05,93.99,90.03,94.36,98.51,90.35,90.19,104.43,81.43,95.99,97.1,92.35,98.13,98.95,93.57,99.35,101.68,99.02,96.04,110.53,88.58,102.28,103.49,100.63,105.76,100.07,102.15,104.91,104.38,104.62,100.08,113.58,95.08,105.76,105.05,105.54,103.12,99.54,100.08,98.94,99.55,96.89,95.34,95.34,72.95,80.45,89.28,83.09,88.85,93.4,90.55,93.92,98.27,92.92,109.54,110.45,91.05,99.97,100.1,89.29,89.1,97.09,98.47,99.77,105.47,101.18,100.43,112.64,96.05,101,101.49,97.08,105.99,105.09,101.75,106.38,103.12,104.39,102.51,116.72,91.73,107.19,105.36,103.09,104.72,105.42,101.41,101.08,100.96,101.66,98.11,104.72,88.14
     Import of textiles Index,106.15,89.32,92.02,95.37,89.45,101.63,95.96,104.55,102.95,95.91,123.17,103.46,120.03,92.55,125.31,110.99,121.83,122.53,117.15,135.73,132.44,109.71,126.16,135.94,132.26,142.54,152.84,134.88,146.86,128.64,146.02,144.53,132.97,148.85,151.21,125.33,156.79,127.77,139.98,144.85,156.1,126.95,149.81,156.17,141.82,143.37,139.04,127.26,175.69,128.07,149.24,144.27,145.17,139.21,155.94,148.02,162.16,160.98,150.85,144.83,168.67,157.28,141.99,146.18,142.51,154.25,156.02,162,152.25,148.12,164.4,163,166.2,149.19,164.42,156.92,157.28,164.95,167.38,186.49,163.42,172.49,184.78,171.08,165.36,157.05,185.87,149.94,178.59,179.02,169.83,204.19,160.75,165.99,188.73,171.5,206.65,181.51,175.09,174.97,197.84,194.68,194.15,217.47,194.34,226.35,228.72,193.2,235.52,179.3,191.45,188.92,205.65,195.22,218.9,212.7,204.76,208.28,219.78,212.33,263.24,148.65,187.58,158.48,137.27,166.91,176.91,175.87,173.27,168.67,190.63,198.52,220.61,190.2,204.38,187.77,192.02,203.41,190.91,205.79,188.38,187.72,198.68,199.46,221.7,182.4,209.81,184.27,212.11,219.97,203.71,223.8,197.71,175.84,217.36,201.47,208.55,194.65,219.53,169.66,211.86,195.42,193.26,222.83,191.02,199.7,220.58,207.49,222.95,212.96,206.2,196.68
   Durables Index 4/,84.84,87.62,98.59,88.27,95.93,113.41,102.36,102.45,105.6,97.73,103.24,119.89,99.77,106.28,125.15,96.61,94.72,116.74,108.92,115.11,120.72,80.07,72.2,96.13,99.68,111.77,129.79,108.62,140.93,151.85,150.66,146.3,152.34,159.97,188.36,167.13,139.76,143.34,167.95,121.93,135.61,138.25,130.76,130.92,128.01,126.1,144.94,143.97,101.42,107.33,122.89,100.45,107.85,116.3,110.59,107.5,108.84,111.23,127.34,127.69,98.8,102.39,120.79,88.25,100.19,108.22,100.93,99.52,106.48,113.31,129.26,133.4,96.12,96.22,118.89,88.09,109.34,116.38,103.85,108.85,109.79,105.23,125.19,127.61,99.25,108.15,128.62,96.78,113.43,120.55,108.63,110.86,118.57,115.24,142.34,144.95,108.71,112.23,134.72,107.19,123.77,132.6,120.63,126.33,125.46,127.4,152.85,148.71,115.45,118.06,141.24,112.21,123.83,127.71,121.2,121.24,122.81,119.34,136.38,134.97,110.46,107.76,109.3,70.13,84.26,99.31,102.19,109.55,109.57,114.02,130.86,144.31,96.88,99.44,131.72,108.61,104.75,115.18,93.97,85.1,104.89,105.61,133.72,137.99,110.51,111.62,132.04,111.89,116.93,117.34,106.75,120.43,115.85,108.33,134.08,130.32,110.91,116.45,136.01,113.35,126.12,122.27,109.87,118.31,112.89,112.55,134.35,124.58,108.21,104.21,117.55,106.47
     Sales of Commercial cars (Units),26411,29242,37204,28108,31352,33915,33350,34353,33541,36339,41778,49292,34088,40107,47052,33259,29189,34673,37590,40350,42820,20755,10166,24693,45401,54173,65231,45248,55159,58184,62199,63903,59241,64019,64145,66446,58503,57745,69880,56058,52240,49825,44173,43194,42469,41968,48275,57070,36916,36743,42632,36236,34750,35661,34662,33658,34072,36045,37267,44146,30396,32621,35425,21908,24926,29820,29008,33109,26699,27210,42330,55995,25512,27810,32044,24195,30195,28565,26331,27335,27869,28124,31627,41986,27596,31797,37668,27961,29010,27570,28711,30708,36369,28725,34353,44851,29706,35165,43622,34852,37115,37156,35424,36919,39356,39844,44744,53674,36408,36908,46700,37683,40531,36758,35829,34760,30981,34768,38004,41558,31759,31453,28870,16287,21557,27795,30807,34332,35420,38033,38033,45918,26719,27200,33345,28261,28578,30282,26155,20145,27989,32097,34311,38131,31297,36650,41766,30239,30378,34525,30835,31630,35752,32877,30535,37053,28605,28493,30945,22897,23799,23586,21617,21186,20354,20082,19407,21034,16297,16532,17352,15108
     Sales of Passenger cars (Units),21682,23346,23942,27418,29108,34832,30432,29491,32684,33609,34759,41266,32317,34722,43260,32190,24477,33524,33250,36772,42221,20949,14576,28567,29606,34417,42231,39910,57849,62024,65983,62639,70351,74857,80287,74098,63592,68067,83103,49850,55338,51725,49632,53293,49047,43730,42396,53989,29732,32946,38946,34993,32902,36106,32772,32848,32501,32299,33003,42366,27429,29425,36127,30137,29871,28087,29894,26550,32983,38325,31758,42455,24516,27235,37506,28824,33921,34874,32369,33631,33362,30102,30661,41758,27795,34338,44211,33614,35277,39776,34637,35363,38762,37612,41205,56653,35158,38114,48805,42088,45490,48385,44232,47341,46541,44648,47512,56606,39950,43265,53977,46419,45121,46711,42804,43643,47305,38167,36652,49617,36869,35195,28642,12698,17385,23632,26536,32439,32467,33923,33923,55557,26448,29617,43492,27677,24886,31919,23931,19571,33487,29723,34523,49489,35822,35197,42600,30888,31595,30654,30608,34100,35879,29524,35266,42495,35387,41015,46410,34322,39292,38253,34507,36970,39234,36985,40038,43980,37438,34840,37165,30700
