Bank of Thailand
EC_EI_027 : Thailand's Macro Economic Indicators 1/

Last Updated : 
Retrieved date : 
,,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 r,2021 r,2022 p,2023 p,2024 p
1,1. Population (Million persons),46.11,46.96,47.87,48.84,49.51,50.58,51.79,52.97,53.87,54.96,55.89,55.84,57.03,57.62,58.44,59.24,59.28,59.90,60.50,61.20,61.80,61.88,62.31,62.80,63.08,61.97,62.42,62.83,63.04,63.39,63.53,63.88,64.08,64.46,64.79,65.12,65.73,65.93,66.19,66.41,66.56,66.19,66.17,66.09,66.05,....
2,2.GDP (New series) 2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.1 GDP : Chain volume measures (billion baht),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3373.5,3656.9,3994.5,4341.0,4688.2,5068.9,5355.4,5207.9,4810.3,5030.3,5254.3,5435.4,5769.6,6184.4,6573.3,6848.6,7188.8,7579.5,7710.3,7657.1,8232.4,8301.6,8902.8,9142.1,9232.1,9521.4,9848.5,10259.9,10693.2,10919.3,10258.7,10419.6,10676.2,10877.2,....
4,      (% change),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8.4,9.2,8.7,8.0,8.1,5.7,-2.8,-7.6,4.6,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.1,1.6,2.5,1.9,....
5,      2.1.1 Agriculture (Billions of Baht),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,334.7,357.4,373.3,380.8,406.2,411.4,433.2,431.1,434.1,455.0,486.0,500.9,501.5,561.5,555.2,554.9,576.7,587.7,604.9,603.4,600.7,638.5,655.8,660.4,658.5,615.9,608.8,638.1,677.0,670.4,649.2,663.8,680.3,693.4,....
6,         (% change),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6.8,4.5,2.0,6.7,1.3,5.3,-0.5,0.7,4.8,6.8,3.1,0.1,12.0,-1.1,-0.1,3.9,1.9,2.9,-0.2,-0.5,6.3,2.7,0.7,-0.3,-6.5,-1.2,4.8,6.1,-1.0,-3.2,2.2,2.5,1.9,....
7,      2.1.2 Non-agriculture (Billions of Baht),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3041.3,3302.4,3625.3,3966.9,4288.7,4664.7,4930.0,4783.1,4378.3,4577.2,4770.6,4936.6,5268.1,5622.9,6019.9,6298.2,6617.8,7001.7,7113.8,7061.1,7652.7,7667.9,8268.9,8512.4,8610.0,8972.6,9321.0,9704.8,10098.0,10339.4,9687.4,9833.1,10075.0,10264.2,....
8,         (% change),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8.6,9.8,9.4,8.1,8.8,5.7,-3.0,-8.5,4.5,4.2,3.5,6.7,6.7,7.1,4.6,5.1,5.8,1.6,-0.7,8.4,0.2,7.8,2.9,1.1,4.2,3.9,4.1,4.1,2.4,-6.3,1.5,2.5,1.9,....
9,   2.2 GDP at current price (Billions of Baht),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2263.5,2583.5,2935.6,4405.8,4761.9,5076.1,5363.2,5252.5,4826.1,5033.8,5069.8,5345.0,5769.6,6317.3,6954.3,7614.4,8400.6,9076.3,9706.9,9658.7,10808.1,11306.9,12357.3,12915.2,13230.3,13743.5,14590.3,15488.7,16373.3,16889.2,15661.3,16188.6,17378.0,17921.2,....
10,      (% change),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14.1,13.6,11.2,13.0,14.3,10.0,1.5,-0.2,1.9,5.8,5.4,7.9,9.5,10.1,9.5,10.3,8.0,6.9,-0.5,11.9,4.6,9.3,4.5,2.4,3.9,6.2,6.2,5.7,3.2,-7.3,3.4,7.3,3.1,....
